Ordinal,Make,Model,Year,Nickname,Division,Country,PI,S,B,H,A,Pwr kW, Pwr PS,Pwr hp,Mass kg,Mass lb,Trq N.m,Trq ft-lb,Drvtr.,Eng.pos.,Dsp.,Cfg.,Cyl.,Ind.,Type,Doors,Topless,Steer.pos.
2493,Aston Martin,Vantage GT12,2015,AM GT12 '15,Modern Sport GT,GBR,707,4.9,4.6,4.3,5,442,601,593,1565,3450,625,461,RWD,F,5.9,V,12,NA,Factory,2,False,R,Door23
2181,Aston Martin,V12 Vantage S,2013,AM Vantage '13,Modern Sport GT,GBR,640,6.7,3.3,3.1,4.6,421,572,565,1671,3684,620,457,RWD,F,5.9,V,12,NA,Factory,2,False,L,Door23
1081,Aston Martin,DBS,2008,AM DBS '08,Modern Sport GT,GBR,603,6.1,3.3,3.1,3.9,380,517,510,1695,3737,569,420,RWD,F,5.9,V,12,NA,Factory,2,False,L,Door23
479,Aston Martin,V12 Vanquish,2001,AM Vanquish '01,Exotic GT Classics,GBR,542,5.3,2.8,2.7,3.5,343,466,460,1864,4109,542,400,RWD,F,5.9,V,12,NA,Factory,2,False,L,Door23
1519,Aston Martin,V8 Vantage V600,1998,AM Vantage '98,Sport GT Icons,GBR,560,6.4,2.7,2.5,3.8,447,608,599,2002,4414,814,600,RWD,F,5.3,V,8,PDS,Factory,2,False,R,Door23
1551,Aston Martin,#18 Aston Martin AMR1,1989,AM #18 AMR1,GTP/C,GBR,962,6.9,10,10,8.3,552,751,740,996,2196,841,620,RWD,MR,6.3,V,8,NA,Race,2,False,R,Door23
3024,Aston Martin,DBS,1967,AM DBS '67,Vintage Exotic GT,GBR,343,3.5,1.4,1.4,2.6,242,329,325,1588,3501,393,290,RWD,F,4,I,6,NA,Factory,2,False,R,Door23
1105,Aston Martin,DB5,1964,AM DB5 '64,Sport Coupe Icons,GBR,282,1.4,1.4,1.3,1.9,210,286,282,1565,3450,382,282,RWD,F,4,I,6,NA,Factory,2,False,R,Door23
1550,Aston Martin,DB4 GT Zagato,1960,AM DB4 GT,Vintage Le Mans Sportscars,GBR,353,3.5,1.3,1.5,2.5,234,318,314,1225,2701,377,278,RWD,F,3.7,I,6,NA,Factory,2,False,R,Door23
1386,Aston Martin,DBR1,1958,AM DBR1,Vintage Le Mans Sportscars,GBR,518,4.6,2.3,2.7,3.5,189,257,253,903,1991,335,247,RWD,F,3,I,6,NA,Race,2,True,R,Door23
3583,Audi,RS 6 Avant,2021,Audi RS 6 '21,Sport Luxury,GER,658,6.1,3,2.7,5,441,600,591,2075,4575,800,590,AWD,F,4,V,8,TT,Factory,4,False,L,Door45
3584,Audi,RS 7 Sportback,2021,Audi RS 7 '21,Sport Luxury,GER,656,6.7,2.8,2.6,5.2,441,600,591,2065,4553,800,590,AWD,F,4,V,8,TT,Factory,4,False,L,Door45
3359,Audi,RS e-tron GT,2021,Audi RS e-tron,Sport Luxury,GER,706,3.7,2.6,2.8,6.1,475,646,637,2347,5174,830,612,AWD,MR,0,E,0,EV,Factory,4,False,L,Door45
3745,Audi,R8 V10 performance,2020,Audi R8 '20,Modern Sport GT,GER,753,7.1,3.8,3.5,6.1,449,610,602,1650,3638,560,413,AWD,MR,5.2,V,10,NA,Factory,2,False,L,Door23
3454,Audi,RS 3 Sedan,2020,Audi RS 3 '20,Modern Sport Coupe,GER,621,5.1,2.7,2.5,4.6,294,400,394,1630,3594,480,354,AWD,F,2.5,I,5,T,Factory,4,False,L,Door45
3453,Audi,TT RS Coupe,2020,Audi TT RS '20,Modern Sport Coupe,GER,643,5.5,2.8,2.8,4.8,294,400,394,1500,3307,480,354,AWD,F,2.5,I,5,T,Factory,2,False,L,Door23
2852,Audi,#1 Audi Sport RS 3 LMS,2018,Audi #1 RS 3 LMS,Forza Touring Cars,GER,692,3.2,5.3,5.5,4,257,349,345,1255,2767,420,310,FWD,F,2,I,4,T,Race,4,False,L,Door45
3229,Audi,#44 R8 LMS GT3,2018,Audi #44 R8 LMS,Forza GT,GER,828,5,6.6,6.8,5.8,436,593,585,1325,2921,549,405,RWD,MR,5.2,V,10,NA,Race,2,False,L,Door23
3318,Audi,RS 4 Avant,2018,Audi RS 4 '18,Modern Sport Touring,GER,637,6,2.8,2.6,5,331,450,444,1790,3946,600,443,AWD,F,2.9,V,6,TT,Factory,4,False,L,Door45
3264,Audi,RS 5 Coupe,2018,Audi RS 5 '18,Modern Sport Touring,GER,638,5.7,2.9,2.7,4.9,331,450,444,1810,3990,601,443,AWD,F,2.9,V,6,TT,Factory,2,False,L,Door23
3286,Audi,TT RS,2018,Audi TT RS '18,Modern Sport Coupe,GER,643,5.5,2.8,2.8,4.8,294,400,394,1500,3307,480,354,AWD,F,2.5,I,5,T,Factory,2,False,L,Door23
2859,Audi,#17 Rotek Racing TT RS,2016,Audi #17 TT RS,Forza GT,GER,802,3.3,7.1,7.4,5.1,283,385,380,1080,2381,529,390,FWD,F,2.5,I,5,T,Race,2,False,L,Door23
2473,Audi,R8 V10 plus,2016,Audi R8 '16,Modern Sport GT,GER,752,7.1,3.8,3.5,6.1,449,610,602,1645,3627,560,413,AWD,MR,5.2,V,10,NA,Factory,2,False,L,Door23
2180,Audi,RS 6 Avant,2015,Audi RS 6 '15,Sport Luxury,GER,666,6.3,3.3,2.7,5,412,560,553,1935,4266,700,516,AWD,F,4,V,8,TT,Factory,2,False,L,Door23
2179,Audi,S1,2015,Audi S1 '15,Modern Hot Hatch,GER,405,2.5,2.2,2.2,2.5,170,231,228,1315,2899,370,273,AWD,F,2,I,4,T,Factory,2,False,L,Door23
2271,Audi,#2 Audi Team Joest R18 e-tron quattro,2014,Audi #2 R18,Forza P1,GER,979,6.3,10,10,10,565,768,758,911,2008,1300,959,AWD,MR,4,V,6,T,Race,2,False,C,Door23
2010,Audi,R8 Coupé V10 plus 5.2 FSI quattro,2013,Audi R8 '13,Modern Sport GT,GER,732,6.3,3.7,3.4,5.8,404,549,542,1670,3682,540,398,AWD,MR,5.2,V,10,NA,Factory,2,False,L,Door23
1607,Audi,RS 4 Avant,2013,Audi RS 4 '13,Modern Sport Touring,GER,591,5.6,2.9,2.5,3.9,331,450,444,1795,3957,430,317,AWD,F,4.2,V,8,NA,Factory,4,False,L,Door45
2009,Audi,RS 7 Sportback,2013,Audi RS 7,Sport Luxury,GER,613,6.5,2.8,2.4,4.5,412,560,553,2030,4475,750,553,AWD,F,4,V,8,TT,Factory,4,False,L,Door45
1216,Audi,RS 3 Sportback,2011,Audi RS 3 '11,Modern Hot Hatch,GER,470,3.7,2.3,2.3,2.8,250,340,335,1575,3472,450,332,AWD,F,2.5,I,5,T,Factory,4,False,L,Door45
419,Audi,RS 4,2006,Audi RS 4 '06,Sport Touring Classics,GER,564,5.4,2.3,2.4,3.6,313,426,420,1650,3638,430,317,AWD,F,4.2,V,8,NA,Factory,4,False,L,Door45
428,Audi,S4,2004,Audi S4 '04,Sport Touring Classics,GER,467,4.6,1.9,1.9,3,254,345,341,1735,3825,409,302,AWD,F,4.2,V,8,NA,Factory,4,False,L,Door45
420,Audi,RS 6,2003,Audi RS 6 '03,Sport Touring Classics,GER,537,5.3,2.5,2.3,3.6,336,457,451,1840,4057,563,415,AWD,F,4.2,V,8,TT,Factory,4,False,L,Door45
2178,Audi,RS 4 Avant,2001,Audi RS 4 '01,Sport Touring Classics,GER,516,4.5,2.4,2.4,3.2,280,381,375,1620,3571,439,324,AWD,F,2.7,V,6,TT,Factory,4,False,L,Door45
1370,Audi,Avant RS2,1995,Audi RS2 '95,Sport Touring Classics,GER,458,3.6,2.2,2.2,2.9,232,315,311,1595,3516,409,302,AWD,F,2.2,I,5,T,Factory,4,False,L,Door45
1573,Audi,#4 Audi 90 quattro IMSA GTO,1989,Audi #4 90 GTO,GTX Sportscars,GER,857,5.2,6.1,6.2,7.4,530,721,711,1206,2659,720,531,AWD,F,2.2,I,5,T,Race,4,False,L,Door45
633,Audi,Sport quattro,1984,Audi quattro '84,Sport Touring Classics,GER,464,2.8,2.1,2.2,3,228,310,306,1300,2866,351,259,AWD,F,2.1,I,5,T,Factory,2,False,L,Door23
1481,Austin-Healey,3000 MkIII,1965,Austin 3000 '65,Sport Coupe Icons,GBR,262,1.3,1,1.1,1.5,110,150,148,1202,2650,235,173,RWD,F,2.9,I,6,NA,Factory,2,True,L,Door23
2096,Auto Union,Type D,1939,AutoUnion Type D,The Birth of Grand Prix,GER,598,6.2,2.4,2.9,4.9,362,492,485,1277,2815,560,413,RWD,MR,3,V,12,PDS,Race,0,True,C,Open
3360,Automobili Pininfarina,Battista,2020,Battista '20,Modern Hypercars,ITA,924,7.3,4.3,4.2,6.4,1400,1903,1877,2000,4409,2298,1695,AWD,MR,0,E,0,EV,Factory,2,False,L,Door23
2040,BAC,Mono,2014,BAC Mono '14,Track Toys,GBR,712,2.7,4.4,4.5,5.4,209,284,280,606,1336,280,207,RWD,MR,2.3,I,4,NA,Factory,0,True,C,Open
2665,Bentley,Continental Supersports,2017,Bentley C SS '17,Sport Luxury,GBR,656,6.8,2.7,2.4,4.7,522,710,700,2280,5027,1017,750,AWD,F,6,W,12,TT,Factory,2,False,L,Door23
2403,Bentley,#17 M-Sport Bentley Continental GT3,2014,Bentley #17 C,Forza GT,GBR,819,4.3,6.6,6.6,6.3,447,608,599,1390,3064,720,531,RWD,F,4,V,8,TT,Race,2,False,R,Door23
498,Bentley,#7 Team Bentley Speed 8,2003,Bentley #7 Spd 8,Early LMP,GBR,941,6.1,9.4,9.6,7.9,459,624,616,983,2167,800,590,RWD,MR,4,V,8,TT,Race,2,False,R,Door23
3763,BMW,M2,2023,BMW M2 '23,Modern Sport Coupe,GER,599,5,3.3,3,4.1,338,460,453,1700,3748,549,405,RWD,F,3,I,6,TT,Factory,2,False,L,Door23
3644,BMW,M3 Competition Sedan,2021,BMW M3 '21,Modern Sport Touring,GER,642,5.7,3.1,2.9,4.7,375,510,503,1730,3814,649,479,RWD,F,3,I,6,TT,Factory,4,False,L,Door45
3645,BMW,M4 Competition Coupé,2021,BMW M4 '21,Modern Sport Touring,GER,641,5.7,3.1,2.9,4.7,375,510,503,1725,3803,649,479,RWD,F,3,I,6,TT,Factory,2,False,L,Door23
3434,BMW,M2 Competition Coupé,2020,BMW M2 '20,Modern Sport Coupe,GER,588,4.7,2.8,2.6,4.5,302,411,405,1658,3655,550,406,RWD,F,3,I,6,TT,Factory,2,False,L,Door23
3518,BMW,M8 Competition Coupé,2020,BMW M8 '20,Sport Luxury,GER,720,6.9,3.4,2.9,5.8,460,625,617,1885,4156,750,553,AWD,F,4.4,V,8,TT,Factory,2,False,L,Door23
3173,BMW,Z4 Roadster,2019,BMW Z4 '19,Modern Sport Coupe,GER,608,4.9,3,3.1,4.3,285,387,382,1535,3384,501,370,RWD,F,3,I,6,T,Factory,2,False,L,Door23
3073,BMW,#1 BMW M Motorsport M8 GTE,2018,BMW #1 M8,Forza GT,GER,838,5.1,6.6,6.9,6.5,447,608,599,1287,2837,678,500,RWD,F,4,V,8,TT,Race,2,False,L,Door23
3071,BMW,M5,2018,BMW M5 '18,Sport Luxury,GER,711,6.5,3.3,2.8,5.8,447,608,599,1982,4370,750,553,AWD,F,4.4,V,8,TT,Factory,4,False,L,Door45
2824,BMW,#24 BMW Team RLL M6 GTLM,2017,BMW #24 M6,Forza GT,GER,813,4.5,6.6,6.8,6.1,373,507,500,1294,2853,616,454,RWD,F,4.4,V,8,TT,Race,2,False,L,Door23
2628,BMW,M4 GTS,2016,BMW M4 '16,Modern Sport Touring,GER,701,5.6,4.2,3.9,5,368,500,493,1510,3329,599,442,RWD,F,3,I,6,TT,Factory,2,False,L,Door23
2133,BMW,i8,2015,BMW i8 '15,Sport Luxury,GER,644,5.6,2.7,2.9,4.5,266,362,357,1533,3380,570,420,AWD,MR,1.5,I,3,T,Factory,2,False,L,Door23
2018,BMW,M6 Coupé,2013,BMW M6 '13,Sport Luxury,GER,651,6.6,3.2,2.7,4.9,418,568,561,1930,4255,678,500,RWD,F,4.4,V,8,TT,Factory,2,False,L,Door23
1388,BMW,M5,2012,BMW M5 '12,Modern Sport Touring,GER,626,6.2,2.8,2.8,4.7,412,560,553,1870,4123,679,501,RWD,F,4.4,V,8,TT,Factory,4,False,L,Door45
1385,BMW,1 Series M Coupé,2011,BMW 1M,Modern Sport Coupe,GER,527,4.4,2.6,2.6,3.5,250,340,335,1495,3296,450,332,RWD,F,3,I,6,TT,Factory,2,False,L,Door23
1598,BMW,M3 GTS,2010,BMW M3 '10,Modern Sport Touring,GER,657,5.4,3.8,3.7,4.6,331,450,444,1530,3373,440,325,RWD,F,4.4,V,8,NA,Factory,2,False,L,Door23
383,BMW,M3,2005,BMW M3 '05,Sport Touring Classics,GER,504,4.4,2.5,2.6,3.3,248,337,333,1549,3415,355,262,RWD,F,3.2,I,6,NA,Factory,2,False,L,Door23
565,BMW,M3-GTR,2002,BMW M3 '02,Sport Touring Classics,GER,571,4.9,2.8,2.9,3.9,279,379,374,1397,3080,390,288,RWD,F,4,V,8,NA,Factory,2,False,L,Door23
1268,BMW,Z3 M Coupé,2002,BMW Z3 '02,Early Sport Compact,GER,520,3.8,2.5,2.6,3.4,235,320,315,1356,2989,341,252,RWD,F,3.2,I,6,NA,Factory,2,False,L,Door23
2193,BMW,323ti Sport,2000,BMW 323ti '00,Early Sport Compact,GER,322,1.7,1.9,1.8,2.2,125,170,168,1255,2767,245,181,RWD,F,2.5,I,6,NA,Factory,2,False,L,Door23
505,BMW,#15 BMW Motorsport V12 LMR,1999,BMW #15 V12 LMR,Early LMP,GER,953,6.5,10,10,8.2,432,587,579,967,2132,670,494,RWD,MR,6,V,12,NA,Race,0,True,R,Open
382,BMW,M3,1997,BMW M3 '97,Sport Touring Classics,GER,485,4.6,2.4,2.4,3.2,239,325,321,1460,3219,350,258,RWD,F,3.2,I,6,NA,Factory,2,False,L,Door23
1493,BMW,850CSi,1995,BMW 850CSi '95,Sport GT Icons,GER,435,5,2.2,2.3,2.8,277,377,371,1923,4239,545,402,RWD,F,5.6,V,12,NA,Factory,2,False,L,Door23
642,BMW,M3,1991,BMW M3 '91,Sport Touring Classics,GER,357,2.7,1.7,2,2.4,160,218,215,1253,2762,244,180,RWD,F,2.3,I,4,NA,Factory,2,False,L,Door23
1368,BMW,M5,1988,BMW M5 '88,Sport Touring Classics,GER,366,2.6,1.7,1.8,2.8,210,286,282,1465,3230,340,251,RWD,F,3.5,I,6,NA,Factory,4,False,L,Door45
1040,BMW,M1,1981,BMW M1 '81,Sport GT Icons,GER,416,3.1,2.2,2.3,2.9,207,281,278,1300,2866,329,243,RWD,MR,3.5,I,6,NA,Factory,2,False,L,Door23
2103,BMW,#6 BMW Motorsport M1 Procar,1979,BMW #6 M1 Procar,GTX Sportscars,GER,772,4.9,5.4,5.9,5.5,351,477,471,1020,2249,390,288,RWD,MR,3.5,I,6,NA,Race,2,False,L,Door23
2112,BMW,#25 BMW Motorsport 3.0 CSL,1975,BMW #25 3.0 CSL,GTX Sportscars,GER,741,4,5.5,5.5,5.4,321,436,430,1062,2341,414,305,RWD,F,3.5,I,6,NA,Race,2,False,L,Door23
1269,BMW,2002 Turbo,1973,BMW 2002 '73,Vintage Sport Compact,GER,298,1.6,1.2,1.3,2.3,125,170,168,1080,2381,245,181,RWD,F,2,I,4,T,Factory,2,False,L,Door23
3285,Brabham,BT62,2019,Brabham BT62 '19,Modern Factory Racecars,GBR,911,6.3,7.7,7.8,7.8,522,710,700,1066,2350,667,492,RWD,MR,5.4,V,8,NA,Race,2,False,L,Door23
2033,Brabham,BT24,1967,Brabham BT24,Formula 60s,GBR,756,4.2,4.7,4.9,6.1,246,334,330,517,1140,315,232,RWD,MR,3,V,8,NA,Race,0,True,C,Open
3517,Brabham,BT8,1964,Brabham BT8,Vintage Le Mans Sportscars,GBR,538,3.4,2.3,2.2,4.5,198,269,266,631,1391,316,233,RWD,MR,2.8,I,4,NA,Race,0,True,R,Open
3266,BRM,#14 Team Motul P201,1974,BRM #14 P201,Formula 70s,GBR,856,4.4,7,7.1,8.9,336,457,451,750,1653,342,252,RWD,MR,3,V,12,NA,Race,0,True,C,Open
3168,Bugatti,Divo,2019,Bugatti Divo,Modern Hypercars,FRA,870,10,4.8,4.6,8.9,1103,1500,1479,1995,4398,1601,1181,AWD,MR,8,W,16,T4,Factory,2,False,L,Door23
2624,Bugatti,Chiron,2018,Bugatti Chiron,Modern Hypercars,FRA,869,10,4.6,4.4,8.8,1103,1500,1479,1995,4398,1600,1180,AWD,MR,8,W,16,T4,Factory,2,False,L,Door23
1328,Bugatti,Veyron Super Sport,2011,Bugatti Veyron,Modern Hypercars,FRA,862,10,4.5,4.4,9.3,882,1199,1183,1834,4043,1500,1106,AWD,MR,8,W,16,T4,Factory,2,False,L,Door23
1219,Bugatti,EB110 Super Sport,1992,Bugatti EB110 92,Exotic GT Classics,FRA,697,7.6,3.2,3.2,4.7,456,620,612,1637,3609,651,480,AWD,MR,3.5,V,12,TT,Factory,2,False,L,Door23
2066,Bugatti,Type 35 C,1926,Bugatti Type 35,The Birth of Grand Prix,FRA,263,1,1.8,2,1.4,71,97,95,760,1676,129,95,RWD,F,2,I,8,PDS,Race,0,True,R,Open
1329,Buick,Regal GNX,1987,Buick GNX '87,Sport Touring Classics,USA,421,3.1,1.9,2.1,3.2,224,305,300,1608,3545,515,380,RWD,F,3.8,V,6,T,Factory,2,False,L,Door23
3316,Buick,#6 Performance Motorsports Somerset Regal Trans-Am,1985,Buick #6 Regal,GTX Sportscars,USA,771,5,5.6,5.8,5,378,514,507,1225,2701,521,384,RWD,F,4.5,V,6,NA,Race,2,False,L,Door23
417,Buick,GSX,1970,Buick GSX '70,Street Drag Racers,USA,377,2,1.2,1.2,3.3,268,364,359,1757,3874,691,510,RWD,F,7.5,V,8,NA,Factory,2,False,L,Door23
3866,Cadillac,#01 Cadillac Racing V-Series.R,2023,Cadillac #01 LM,Forza Proto-H,USA,941,6.9,9.8,9.7,8.2,500,680,671,1105,2436,632,466,RWD,MR,5.5,V,8,NA,Race,2,False,L,Door23
3867,Cadillac,#2 Cadillac Racing V-Series.R,2023,Cadillac #2 LM,Forza Proto-H,USA,941,6.9,9.8,9.7,8.2,500,680,671,1105,2436,632,466,RWD,MR,5.5,V,8,NA,Race,2,False,L,Door23
3792,Cadillac,#31 Whelen Engineering Cadillac Racing V-Series.R,2023,Cadillac #31 LM,Forza Proto-H,USA,941,6.9,9.8,9.7,8.2,500,680,671,1105,2436,632,466,RWD,MR,5.5,V,8,NA,Race,2,False,L,Door23
3719,Cadillac,CT4-V Blackwing,2022,Cadillac CT4 '22,Modern Sport Touring,USA,577,5.6,3,2.8,4.1,352,479,472,1751,3860,602,444,RWD,F,3.6,V,6,TT,Factory,4,False,L,Door45
3720,Cadillac,CT5-V Blackwing,2022,Cadillac CT5 '22,Modern Sport Touring,USA,638,6.3,3.3,2.8,4.7,498,677,668,1870,4123,892,658,RWD,F,6.2,V,8,PDS,Factory,4,False,L,Door45
3669,Cadillac,#31 Whelen Racing DPi-V.R,2021,Cadillace #31 Dpi,Forza Proto-H,USA,950,5.9,9.4,9.5,7.6,432,587,579,995,2194,625,461,RWD,MR,5.5,V,8,NA,Race,2,False,L,Door23
3283,Cadillac,#57 TA CTS-V,2018,Cadillac #57 CTS,Forza GT,USA,897,5.5,7.1,7.2,7.1,634,862,850,1321,2912,746,550,RWD,F,5.9,V,8,NA,Race,2,False,L,Door23
2262,Cadillac,ATS-V,2016,Cadillac ATS '16,Modern Sport Touring,USA,538,5.5,2.6,2.6,3.6,346,470,464,1725,3803,603,445,RWD,F,3.6,V,6,TT,Factory,2,False,L,Door23
2421,Cadillac,CTS-V Sedan,2016,Cadillac CTS '16,Sport Luxury,USA,629,5.9,2.9,2.5,4.6,477,649,640,1872,4127,854,630,RWD,F,6.2,V,8,PDS,Factory,4,False,L,Door45
3281,Cadillac,#3 Cadillac Racing ATS-V.R,2015,Cadillac #3 ATS,Forza GT,USA,824,5.3,6.3,6.4,6.4,447,608,599,1405,3097,706,521,RWD,F,3.6,V,6,TT,Race,2,False,L,Door23
1652,Caterham,Superlight R500,2013,Caterham '13,Track Toys,GBR,669,2.9,3.5,3.4,5.5,196,266,263,506,1116,240,177,RWD,F,2,I,4,NA,Factory,0,True,L,Open
1553,Chaparral,#66 Chaparral Cars 2E,1966,Chaparral #66 2E,Prototype Group Racing,USA,818,4.2,6.9,6.8,5.9,354,481,475,800,1764,577,426,RWD,MR,5.4,V,8,NA,Race,2,True,R,Door23
3771,Chevrolet,Corvette E-Ray,2024,Chev. E-Ray '24,Modern Sport GT,USA,759,6.1,4.3,4,5.8,481,654,645,1764,3889,801,591,AWD,MR,6.2,V,8,NA,Factory,2,False,L,Door23
-1,Chevrolet,NSACAR Next Gen Camaro ZL1,2024,,Nascar,USA,855,6,7,7,5.5,500,680,671,1508,3325,638,471,RWD,F,5.9,V,8,NA,Factory,-1,False,L,Other
3766,Chevrolet,Corvette Z06,2023,Chev. C8 Z06 '23,Modern Sport GT,USA,757,5.1,5.1,4.5,6.2,500,680,671,1613,3556,624,460,RWD,MR,5.5,V,8,NA,Factory,2,False,L,Door23
3490,Chevrolet,#3 Corvette Racing C8.R,2020,Chev. #3 C8,Forza GT,USA,821,4.6,6.7,7,6.3,373,507,500,1330,2932,651,480,RWD,MR,5.5,V,8,NA,Race,2,False,L,Door23
3369,Chevrolet,Corvette Stingray Coupe,2020,Chev. C8 '20,Modern Sport GT,USA,678,4.8,3.7,3.7,5.3,369,502,495,1623,3578,637,470,RWD,MR,6.2,V,8,NA,Factory,2,False,L,Door23
3800,Chevrolet,Corvette Stingray Coupe Forza Edition,2020,Chev. C8 FE '20,Modern Sport GT,USA,700,4.3,4.3,4.4,5.2,369,502,495,1662,3664,636,469,RWD,MR,6.2,V,8,NA,Upgraded,2,False,L,Door23
